Time,Sensor,Range,Range Variance,Azimuth,Azimuth Variance,Elevation,Elevation Variance,X,Y,Z
355.0,S1,94.05909037934751,0.010000000000000002,1.5744432849663443,3.046174197867086e-06,-0.11976827025421477,3.046174197867086e-06,93.45173443160522,0.0,-11.17309284658181
356.0,S1,94.22420140822987,0.010000000000000002,1.5712590608960482,3.046174197867086e-06,-0.1220898435415182,3.046174197867086e-06,93.4161096904533,0.0,-11.21302918274229
357.0,S1,94.14264689682739,0.010000000000000002,1.571300893787277,3.046174197867086e-06,-0.11885064023486822,3.046174197867086e-06,93.38039713089752,0.0,-11.252927751141266
358.0,S1,93.92780803098049,0.010000000000000002,1.568340511900022,3.046174197867086e-06,-0.12044648742640901,3.046174197867086e-06,93.34459683608006,0.0,-11.292788503501479
359.0,S1,94.00849243807549,0.010000000000000002,1.573085266094403,3.046174197867086e-06,-0.12141628295727504,3.046174197867086e-06,93.30870888924925,0.0,-11.332611391591419
360.0,S1,93.82341375683289,0.010000000000000002,1.5709047679091541,3.046174197867086e-06,-0.11994607197047459,3.046174197867086e-06,93.27273337375951,0.0,-11.372396367225399
361.0,S1,93.99618842867118,0.010000000000000002,1.5700445525692661,3.046174197867086e-06,-0.1221297646855906,3.046174197867086e-06,93.23667037307122,0.0,-11.4121433822636
362.0,S1,93.86551082096106,0.010000000000000002,1.5723296220736138,3.046174197867086e-06,-0.12016220020289346,3.046174197867086e-06,93.20051997075059,0.0,-11.451852388612142
363.0,S1,93.82739833841062,0.010000000000000002,1.5682804499884062,3.046174197867086e-06,-0.11983264457070508,3.046174197867086e-06,93.1642822504696,0.0,-11.491523338223132
364.0,S1,93.982076386905,0.010000000000000002,1.5703973200102903,3.046174197867086e-06,-0.12388285012073283,3.046174197867086e-06,93.12795729600587,0.0,-11.531156183094724
365.0,S1,93.84514591199516,0.010000000000000002,1.5727272251294648,3.046174197867086e-06,-0.12166605950916452,3.046174197867086e-06,93.09154519124262,0.0,-11.57075087527118
366.0,S1,93.85474070660399,0.010000000000000002,1.571594081595801,3.046174197867086e-06,-0.12628341936615242,3.046174197867086e-06,93.05504602016846,0.0,-11.610307366842932
367.0,S1,93.47711520113961,0.010000000000000002,1.567577766044228,3.046174197867086e-06,-0.12263693315119607,3.046174197867086e-06,93.01845986687738,0.0,-11.649825609946625
368.0,S1,93.796029551083,0.010000000000000002,1.5705134048479819,3.046174197867086e-06,-0.12248496347231934,3.046174197867086e-06,92.98178681556864,0.0,-11.689305556765191
369.0,S1,93.8765250542111,0.010000000000000002,1.5719078222886713,3.046174197867086e-06,-0.1272216734268862,3.046174197867086e-06,92.94502695054659,0.0,-11.7287471595279
